city,neighborhood,total_listings,avg_price,median_price,avg_availability_rate,avg_occupancy_proxy,avg_estimated_annual_revenue,avg_recent_reviews,avg_reviews_per_month,avg_rating,avg_price_per_guest,pricing_score,demand_score,revenue_score,rating_score,competition_score,market_opportunity_score
Florence,Campo di Marte,1232,138.0430194805195,105.0,0.6183419320405622,0.38165806795943785,19407.6112012987,13.714285714285714,1.518741883116883,4.799451931716082,41.807192782415996,26.833977376232166,46.758763787266574,30.87786021651558,80.76231286667873,92.55848222508749,50.57
Florence,Centro Storico,8621,205.77241619301705,157.0,0.6210985281242204,0.3789014718757796,28192.380234311564,19.144762788539612,1.921461547384294,4.755785050299249,57.85008242669187,59.174733013991464,75.12243554317772,58.00720191255989,66.51672484123252,47.19101123595506,62.23
Florence,Gavinana Galluzzo,446,148.40582959641256,114.0,0.6331101419006081,0.36688985809939184,20264.699551569505,10.600896860986547,1.2419730941704035,4.789102564102564,44.98894672218663,31.782214418726845,30.49736754601224,33.52474172595703,77.38600518079858,97.38441701970898,48.49
Florence,Isolotto Legnaia,561,123.2566844919786,102.0,0.6092545112690158,0.3907454887309843,17217.17825311943,16.13547237076649,1.8239750445632799,4.786666666666667,36.83107546048723,19.77350925081311,59.404750989716526,24.11331083677526,76.59133447801152,96.67833241235341,50.61
Florence,Rifredi,1022,127.69765166340508,96.0,0.6200198375465781,0.379980162453422,17004.375733855188,14.389432485322896,1.6085714285714285,4.744246885617214,38.14975455344829,21.894069023345573,50.285091426425765,23.45612881671267,62.75259204088422,93.84785411678025,46.23
Milan,ADRIANO,71,121.22535211267606,95.0,0.5786610071387227,0.42133899286127724,19110.295774647886,7.380281690140845,0.9969014084507043,4.584912280701754,39.276525821596245,18.803548978216003,13.675922522137302,29.959683338921707,10.772348291490863,99.68686682630319,30.68
Milan,AFFORI,200,97.62,84.0,0.5128630136986301,0.48713698630136987,16721.855,12.34,1.2947499999999998,4.627142857142857,34.67638888888889,7.532004250600634,39.58079611226385,22.583641276497183,24.54936589699239,98.89482409283478,34.81
Milan,BAGGIO,58,91.27586206896552,76.5,0.5863958431743032,0.41360415682569673,12567.120689655172,7.310344827586207,0.9196551724137931,4.734222222222222,31.938793103448276,4.502681319661742,13.31063855426224,9.752887691736568,59.482213662918056,99.76668508626511,30.29
Milan,BANDE NERE,375,134.61866666666666,101.0,0.5636529680365296,0.43634703196347036,20239.68,11.92,1.3952266666666668,4.762808641975309,45.6532708994709,25.198850489743112,37.38711368352081,33.447475726013245,68.80805388122066,97.82034751642414,47.33
Milan,BARONA,56,109.75,84.5,0.587133072407045,0.412866927592955,16193.857142857143,11.410714285714286,1.268392857142857,4.822,46.167410714285715,13.324073646276108,34.727087201048384,20.953065193349435,88.11824214580727,99.77896481856696,44.39
Milan,BICOCCA,72,127.18055555555556,89.0,0.5607305936073059,0.4392694063926941,20049.36111111111,9.777777777777779,1.1849999999999998,4.780172413793103,38.52476851851852,21.647155870757103,26.198172618397585,32.8597282111412,74.47269334843921,99.68072696015227,44.66
Milan,BOVISA,169,117.3491124260355,84.0,0.554899894625922,0.44510010537407796,18829.44970414201,11.994082840236686,1.5310650887573964,4.672721088435374,38.53828516158398,16.9526463187524,37.774052314231746,29.092367535613423,39.41849977728341,99.08515994351323,40.28
Milan,BRERA,847,249.90791027154663,208.0,0.5495042939625754,0.4504957060374246,41245.86186540732,14.089728453364817,1.5820897284533648,4.701919463087248,76.15138584359363,80.24941104492859,48.7197212627832,98.31928776959464,48.943980022430466,94.92233069319089,73.49
Milan,BRUZZANO,42,84.66666666666667,78.0,0.586105675146771,0.41389432485322897,14067.404761904761,4.761904761904762,0.8814285714285715,4.739696969696969,32.67261904761905,1.346793568656446,0.0,14.38610218880943,61.26825824723632,99.8649229446798,27.38
Milan,BUENOS AIRES - VENEZIA,1664,173.1328125,140.0,0.5516217729188619,0.44837822708113806,28351.134615384617,15.918870192307692,1.8782932692307692,4.710224032586558,55.92877088189588,43.58933733078452,58.27342624468671,58.497471131214326,51.65320660278908,89.90606004789096,58.4
Milan,CENTRALE,911,171.19429198682766,141.0,0.5709276273250831,0.42907237267491694,25787.916575192095,23.907793633369923,2.7044566410537874,4.706009673518742,53.940487951492344,42.663694681383475,100.0,50.581677580749314,50.27834260693109,94.52937925953213,67.5
Milan,CITTA' STUDI,412,129.80339805825244,105.5,0.5450325841202287,0.4549674158797713,21923.84708737864,11.71116504854369,1.4121116504854367,4.770402298850574,43.515580212667594,22.89956195398443,36.29635757990863,38.64856231292567,71.28535713580855,97.59317246884018,47.86
Milan,COMASINA,30,123.4,85.5,0.5563470319634704,0.44365296803652965,14450.866666666667,10.066666666666666,1.434,4.8292,49.66166666666666,19.84194233967844,27.707054712242,15.570318757578324,90.4671214441506,99.93860133849083,43.56
